date,temp_avg,precipitation
2023-01-01,7.7,0.0
2023-01-02,6.5,0.0
2023-01-03,6.7,0.0
2023-01-04,8.5,0.1
2023-01-05,9.4,0.0
2023-01-06,9.6,4.0
2023-01-07,7.3,0.0
2023-01-08,6.2,0.0
2023-01-09,6.5,0.0
2023-01-10,9.2,0.7
2023-01-11,10.4,1.0
2023-01-12,8.9,0.7
2023-01-13,9.4,2.6
2023-01-14,8.9,0.0
2023-01-15,8.5,0.0
2023-01-16,6.9,0.0
2023-01-17,12.7,0.0
2023-01-18,15.0,0.0
2023-01-19,13.9,0.0
2023-01-20,11.8,2.3
2023-01-21,11.6,0.0
2023-01-22,10.9,0.0
2023-01-23,8.8,0.0
2023-01-24,7.8,0.0
2023-01-25,6.2,0.2
2023-01-26,7.9,0.0
2023-01-27,10.0,9.9
2023-01-28,6.7,2.3
2023-01-29,4.0,0.1
2023-01-30,3.7,0.0
2023-01-31,2.5,0.0
2023-02-01,4.0,2.3
2023-02-02,7.0,0.1
2023-02-03,4.7,1.7
2023-02-04,4.4,3.4
2023-02-05,2.9,12.3
2023-02-06,2.9,19.8
2023-02-07,1.6,3.9
2023-02-08,1.4,2.6
2023-02-09,3.1,2.3
2023-02-10,3.1,0.5
2023-02-11,2.9,0.0
2023-02-12,1.8,0.0
2023-02-13,4.6,0.2
2023-02-14,3.3,0.0
2023-02-15,4.1,1.1
2023-02-16,3.6,0.0
2023-02-17,6.7,0.0
2023-02-18,9.6,0.0
2023-02-19,11.2,0.0
2023-02-20,9.0,3.0
2023-02-21,9.1,0.0
2023-02-22,10.3,0.0
2023-02-23,8.6,0.0
2023-02-24,7.9,0.0
2023-02-25,11.3,0.0
2023-02-26,13.6,0.0
2023-02-27,14.6,0.1
2023-02-28,9.9,1.8
2023-03-01,8.2,2.5
2023-03-02,7.5,0.0
2023-03-03,7.8,0.3
2023-03-04,8.5,0.5
2023-03-05,9.2,12.3
2023-03-06,8.4,0.9
2023-03-07,10.5,0.2
2023-03-08,11.9,1.3
2023-03-09,12.8,1.6
2023-03-10,14.0,0.0
2023-03-11,13.9,22.6
2023-03-12,9.2,2.5
2023-03-13,7.4,0.3
2023-03-14,7.3,0.0
2023-03-15,8.7,0.0
2023-03-16,10.1,5.6
2023-03-17,7.6,20.0
2023-03-18,7.2,8.8
2023-03-19,8.5,3.4
2023-03-20,9.3,0.0
2023-03-21,9.8,0.0
2023-03-22,8.7,8.5
2023-03-23,9.2,1.0
2023-03-24,9.1,0.0
2023-03-25,8.8,0.0
2023-03-26,10.3,7.5
2023-03-27,13.8,0.1
2023-03-28,9.6,20.7
2023-03-29,4.7,14.4
2023-03-30,4.4,1.8
2023-03-31,8.3,0.3
2023-04-01,13.9,1.3
2023-04-02,13.5,10.1
2023-04-03,13.5,3.7
2023-04-04,13.4,5.2
2023-04-05,8.5,1.7
2023-04-06,9.6,5.6
2023-04-07,8.9,2.9
2023-04-08,9.8,0.1
2023-04-09,10.2,0.0
2023-04-10,9.7,4.7
2023-04-11,9.5,5.6
2023-04-12,10.0,17.8
2023-04-13,11.6,0.0
2023-04-14,15.1,0.0
2023-04-15,16.3,0.0
2023-04-16,15.4,0.3
2023-04-17,14.3,0.6
2023-04-18,12.9,0.7
2023-04-19,12.1,3.1
2023-04-20,11.9,0.3
2023-04-21,12.4,0.8
2023-04-22,13.4,0.0
2023-04-23,11.7,0.0
2023-04-24,12.0,0.0
2023-04-25,14.8,0.1
2023-04-26,14.1,17.7
2023-04-27,10.9,18.9
2023-04-28,10.6,0.0
2023-04-29,10.7,0.1
2023-04-30,12.3,0.0
2023-05-01,13.9,0.0
2023-05-02,14.8,0.0
2023-05-03,15.5,0.0
2023-05-04,14.8,6.4
2023-05-05,12.8,1.9
2023-05-06,12.9,19.5
2023-05-07,14.0,0.0
2023-05-08,13.7,0.0
2023-05-09,12.7,0.5
2023-05-10,12.1,0.7
2023-05-11,12.2,0.0
2023-05-12,12.4,0.4
2023-05-13,13.3,0.0
2023-05-14,14.0,0.2
2023-05-15,17.4,0.0
2023-05-16,19.0,0.0
2023-05-17,15.7,7.5
2023-05-18,14.4,7.6
2023-05-19,14.9,1.3
2023-05-20,15.1,1.9
2023-05-21,16.0,0.1
2023-05-22,16.3,0.0
2023-05-23,16.1,2.1
2023-05-24,16.2,1.4
2023-05-25,17.3,0.7
2023-05-26,17.7,2.3
2023-05-27,17.7,0.0
2023-05-28,17.5,1.4
2023-05-29,18.2,0.6
2023-05-30,18.8,2.2
2023-05-31,19.2,9.8
2023-06-01,19.0,0.0
2023-06-02,19.7,0.0
2023-06-03,19.2,2.9
2023-06-04,18.8,6.1
2023-06-05,18.4,0.0
2023-06-06,19.1,0.0
2023-06-07,18.9,0.0
2023-06-08,19.3,0.0
2023-06-09,19.5,0.1
2023-06-10,19.2,0.0
2023-06-11,20.4,0.0
2023-06-12,19.4,1.4
2023-06-13,19.3,0.0
2023-06-14,19.8,1.5
2023-06-15,20.9,0.0
2023-06-16,22.1,0.0
2023-06-17,21.4,5.1
2023-06-18,21.2,1.5
2023-06-19,20.8,15.3
2023-06-20,20.8,10.0
2023-06-21,22.2,0.1
2023-06-22,22.6,0.1
2023-06-23,23.3,0.0
2023-06-24,23.8,0.0
2023-06-25,22.9,0.0
2023-06-26,23.2,0.1
2023-06-27,23.7,0.3
2023-06-28,24.2,0.0
2023-06-29,20.4,1.6
2023-06-30,20.8,0.0
2023-07-01,23.0,0.0
2023-07-02,25.1,0.0
2023-07-03,25.5,0.4
2023-07-04,25.1,0.0
2023-07-05,24.7,0.0
2023-07-06,25.7,1.0
2023-07-07,26.1,0.9
2023-07-08,22.5,21.6
2023-07-09,22.5,0.4
2023-07-10,23.5,0.0
2023-07-11,24.5,0.0
2023-07-12,26.5,0.3
2023-07-13,27.9,0.0
2023-07-14,29.1,0.0
2023-07-15,26.3,0.0
2023-07-16,24.6,0.0
2023-07-17,24.6,0.0
2023-07-18,24.7,0.0
2023-07-19,25.5,0.0
2023-07-20,27.9,0.0
2023-07-21,26.8,0.0
2023-07-22,28.3,0.0
2023-07-23,28.8,0.2
2023-07-24,26.0,0.0
2023-07-25,27.0,0.0
2023-07-26,30.6,0.0
2023-07-27,25.4,0.6
2023-07-28,22.4,0.0
2023-07-29,22.9,0.0
2023-07-30,23.5,0.0
2023-07-31,23.8,0.0
2023-08-01,24.7,0.6
2023-08-02,25.5,0.0
2023-08-03,29.0,0.0
2023-08-04,29.3,0.0
2023-08-05,27.2,0.0
2023-08-06,28.2,0.0
2023-08-07,27.3,0.0
2023-08-08,25.0,0.0
2023-08-09,23.4,0.0
2023-08-10,24.2,1.6
2023-08-11,23.1,1.5
2023-08-12,24.4,0.0
2023-08-13,25.0,0.3
2023-08-14,25.8,0.4
2023-08-15,26.4,0.1
2023-08-16,25.8,0.0
2023-08-17,26.1,0.0
2023-08-18,26.3,0.0
2023-08-19,25.7,0.0
2023-08-20,25.9,0.0
2023-08-21,26.3,0.0
2023-08-22,26.8,0.0
2023-08-23,26.2,0.0
2023-08-24,26.2,0.0
2023-08-25,26.0,0.0
2023-08-26,26.2,0.0
2023-08-27,25.5,0.0
2023-08-28,25.3,0.0
2023-08-29,25.7,0.0
2023-08-30,26.4,0.0
2023-08-31,27.3,0.0
2023-09-01,24.5,6.4
2023-09-02,25.1,0.4
2023-09-03,24.9,0.7
2023-09-04,24.2,0.8
2023-09-05,23.4,0.8
2023-09-06,24.2,0.1
2023-09-07,24.8,0.0
2023-09-08,23.8,0.1
2023-09-09,23.0,0.0
2023-09-10,22.9,0.0
2023-09-11,21.8,0.0
2023-09-12,21.6,0.0
2023-09-13,21.2,0.0
2023-09-14,21.9,0.0
2023-09-15,21.5,0.0
2023-09-16,22.1,0.0
2023-09-17,22.8,0.0
2023-09-18,21.8,0.0
2023-09-19,21.8,0.0
2023-09-20,20.4,0.0
2023-09-21,20.3,0.0
2023-09-22,21.5,0.0
2023-09-23,24.7,0.0
2023-09-24,23.3,0.0
2023-09-25,22.9,0.0
2023-09-26,22.9,0.0
2023-09-27,22.6,0.2
2023-09-28,20.9,13.8
2023-09-29,20.1,0.9
2023-09-30,19.3,19.7
2023-10-01,18.2,21.6
2023-10-02,19.0,3.9
2023-10-03,18.8,0.0
2023-10-04,17.6,0.0
2023-10-05,17.8,0.0
2023-10-06,18.8,0.0
2023-10-07,19.1,0.0
2023-10-08,18.0,0.0
2023-10-09,16.9,0.5
2023-10-10,15.6,0.0
2023-10-11,16.0,0.1
2023-10-12,17.5,0.0
2023-10-13,15.8,0.0
2023-10-14,17.4,0.0
2023-10-15,16.6,0.1
2023-10-16,16.1,4.1
2023-10-17,15.5,0.0
2023-10-18,14.8,12.4
2023-10-19,15.5,0.3
2023-10-20,18.3,0.0
2023-10-21,20.3,0.0
2023-10-22,19.3,0.0
2023-10-23,19.4,0.0
2023-10-24,18.6,0.0
2023-10-25,19.0,0.0
2023-10-26,22.1,0.0
2023-10-27,21.5,0.0
2023-10-28,22.0,0.0
2023-10-29,19.8,0.4
2023-10-30,19.5,0.0
2023-10-31,18.2,0.1
2023-11-01,19.5,0.0
2023-11-02,17.1,17.0
2023-11-03,19.7,0.7
2023-11-04,23.0,1.2
2023-11-05,19.7,8.7
2023-11-06,20.2,0.4
2023-11-07,18.7,0.2
2023-11-08,18.1,0.0
2023-11-09,14.5,10.7
2023-11-10,14.1,0.0
2023-11-11,18.4,12.9
2023-11-12,16.2,0.4
2023-11-13,14.4,27.6
2023-11-14,12.3,0.0
2023-11-15,16.5,0.4
2023-11-16,13.0,33.2
2023-11-17,12.6,0.0
2023-11-18,11.6,57.6
2023-11-19,5.5,26.2
2023-11-20,9.3,3.7
2023-11-21,12.7,0.1
2023-11-22,15.4,0.0
2023-11-23,12.6,4.4
2023-11-24,13.8,2.9
2023-11-25,16.6,0.2
2023-11-26,8.9,7.5
2023-11-27,4.3,0.0
2023-11-28,10.3,1.6
2023-11-29,14.3,30.6
2023-11-30,11.2,14.4
2023-12-01,15.6,0.0
2023-12-02,17.5,0.0
2023-12-03,18.1,0.0
2023-12-04,10.4,3.5
2023-12-05,10.3,0.0
2023-12-06,10.5,2.0
2023-12-07,10.4,4.3
2023-12-08,8.0,5.6
2023-12-09,6.7,13.0
2023-12-10,6.6,0.4
2023-12-11,7.8,0.0
2023-12-12,8.7,0.0
2023-12-13,9.4,0.0
2023-12-14,14.6,0.0
2023-12-15,11.8,7.1
2023-12-16,8.1,23.3
2023-12-17,6.6,3.3
2023-12-18,5.8,0.0
2023-12-19,7.3,0.0
2023-12-20,6.8,0.0
2023-12-21,9.9,2.3
2023-12-22,9.7,9.3
2023-12-23,9.6,1.4
2023-12-24,11.6,0.8
2023-12-25,13.1,0.0
2023-12-26,13.2,0.0
2023-12-27,12.8,0.2
